1662737943	2022-09-09 17:39:03	1662737943	137	423	kitchen
1662737946	2022-09-09 17:39:06	1662737946	138	423	kitchen
1662737948	2022-09-09 17:39:08	1662737948	138	423	kitchen
1662737949	2022-09-09 17:39:09	1662737949	137	414	kitchen
1662737950	2022-09-09 17:39:10	1662737950	133	425	kitchen
1662737952	2022-09-09 17:39:12	1662737952	150	418	kitchen
1662737953	2022-09-09 17:39:13	1662737953	144	425	kitchen
1662737961	2022-09-09 17:39:21	1662737961	144	427	kitchen
1662737969	2022-09-09 17:39:29	1662737969	144	427	kitchen
1662737970	2022-09-09 17:39:30	1662737970	118	420	kitchen
1662737970	2022-09-09 17:39:30	1662737970	79	405	kitchen
1662737971	2022-09-09 17:39:31	1662737971	65	404	kitchen
1662737971	2022-09-09 17:39:31	1662737971	66	404	kitchen
1662737972	2022-09-09 17:39:32	1662737972	61	398	kitchen
1662737973	2022-09-09 17:39:33	1662737973	65	395	kitchen
1662737974	2022-09-09 17:39:34	1662737974	68	383	kitchen
1662737975	2022-09-09 17:39:35	1662737975	68	374	kitchen
1662737975	2022-09-09 17:39:35	1662737975	68	369	kitchen
1662737978	2022-09-09 17:39:38	1662737978	67	373	kitchen
1662737979	2022-09-09 17:39:39	1662737979	69	368	kitchen
1662737981	2022-09-09 17:39:41	1662737981	74	341	kitchen
1662737983	2022-09-09 17:39:43	1662737983	71	312	kitchen
1662737984	2022-09-09 17:39:44	1662737984	61	317	kitchen
1662737984	2022-09-09 17:39:44	1662737984	66	276	kitchen
1662737984	2022-09-09 17:39:44	1662737984	64	275	kitchen
1662737985	2022-09-09 17:39:45	1662737985	65	275	kitchen
1662737985	2022-09-09 17:39:45	1662737985	67	260	kitchen
1662737992	2022-09-09 17:39:52	1662737992	62	230	kitchen
1662737993	2022-09-09 17:39:53	1662737993	62	223	kitchen
1662737993	2022-09-09 17:39:53	1662737993	60	256	kitchen
1662737994	2022-09-09 17:39:54	1662737994	73	287	kitchen
1662737995	2022-09-09 17:39:55	1662737995	73	318	kitchen
1662738028	2022-09-09 17:40:28	1662738028	91	270	kitchen
1662738029	2022-09-09 17:40:29	1662738029	78	243	kitchen
1662738030	2022-09-09 17:40:30	1662738030	79	296	kitchen
1662738031	2022-09-09 17:40:31	1662738031	75	335	kitchen
1662738032	2022-09-09 17:40:32	1662738032	64	204	kitchen
1662738034	2022-09-09 17:40:34	1662738034	67	222	kitchen
1662738049	2022-09-09 17:40:49	1662738049	70	209	kitchen
1662738060	2022-09-09 17:41:00	1662738060	106	199	kitchen
1662738060	2022-09-09 17:41:00	1662738060	106	199	kitchen
1662738061	2022-09-09 17:41:01	1662738061	98	199	kitchen
1662738061	2022-09-09 17:41:01	1662738061	119	202	kitchen
1662738062	2022-09-09 17:41:02	1662738062	119	200	kitchen
1662738064	2022-09-09 17:41:04	1662738064	118	199	kitchen
1662738065	2022-09-09 17:41:05	1662738065	118	203	kitchen
1662738067	2022-09-09 17:41:07	1662738067	124	222	kitchen
1662738067	2022-09-09 17:41:07	1662738067	121	229	kitchen
1662738068	2022-09-09 17:41:08	1662738068	122	232	kitchen
1662738068	2022-09-09 17:41:08	1662738068	126	235	kitchen
1662738069	2022-09-09 17:41:09	1662738069	131	242	kitchen
1662738069	2022-09-09 17:41:09	1662738069	141	263	kitchen
1662738070	2022-09-09 17:41:10	1662738070	147	269	kitchen
1662738071	2022-09-09 17:41:11	1662738071	152	287	kitchen
1662738071	2022-09-09 17:41:11	1662738071	162	312	kitchen
1662738072	2022-09-09 17:41:12	1662738072	164	312	kitchen
1662738072	2022-09-09 17:41:12	1662738072	178	320	kitchen
1662738073	2022-09-09 17:41:13	1662738073	177	346	kitchen
